farmers_ahead,currently_waiting,currently_processing,active_counters,average_processing_time,hour,day_of_week,waiting_time_minutes
24,31,3,1,9.1,14,2,261.5
27,27,4,5,7.52,11,6,59.6
13,21,3,5,8.33,11,4,46.2
17,21,2,2,7.54,12,3,84.5
25,28,2,3,9.49,12,4,128.3
8,13,3,4,11.31,15,2,28.6
25,30,4,3,6.15,11,3,70.4
20,21,3,5,7.67,16,3,36.6
1,8,1,4,5.99,16,1,2.9
19,25,1,3,9.37,15,3,56.6
27,27,1,1,10.1,10,0,403.5
14,18,3,2,11.52,13,4,128.1
27,32,3,3,6.95,14,5,87.2
6,9,3,3,11.65,12,5,36.1
11,12,1,1,5.44,13,4,90.9
28,31,4,5,9.22,17,1,58.1
7,7,2,2,5.4,15,3,20.0
14,20,3,3,11.26,10,2,67.4
2,3,4,4,8.71,9,6,7.5
13,14,2,3,9.69,10,6,54.9
16,24,2,2,10.82,11,0,138.7
3,7,2,3,6.05,10,1,12.9
17,18,4,1,5.27,11,6,110.5
7,15,4,3,11.15,17,3,30.4
3,11,1,3,7.2,12,5,17.7
1,1,4,4,5.9,17,2,6.6
29,31,4,1,8.28,11,3,286.7
5,8,4,1,9.19,9,1,44.1
21,27,2,3,5.22,13,2,55.8
9,18,3,4,6.92,10,6,27.4
3,6,1,3,5.23,12,2,10.5
21,22,3,3,7.94,10,2,74.3
28,34,3,2,11.27,10,2,196.1
17,22,4,2,11.88,11,6,127.5
25,27,1,4,9.46,13,3,79.5
11,16,3,5,6.13,12,2,23.7
1,6,3,2,11.34,10,3,10.7
9,13,1,5,8.61,10,2,25.7
29,32,4,1,6.08,14,2,215.7
3,12,3,2,11.45,15,1,22.1
13,13,2,2,10.3,14,3,82.3
15,24,3,4,10.12,15,5,44.0
14,19,2,5,9.96,9,3,30.1
7,8,4,2,6.4,14,4,39.9
13,15,3,2,6.48,11,6,58.5
22,29,1,4,9.82,9,5,56.5
27,36,1,4,6.54,16,1,48.3
24,29,3,5,8.07,12,3,62.7
29,31,4,1,10.47,16,1,250.2
7,13,4,1,10.49,12,5,90.5
20,23,1,3,8.17,12,1,72.4
15,23,3,2,10.55,12,1,101.0
12,16,4,5,10.87,14,0,49.6
17,19,1,2,9.58,17,3,71.0
14,15,2,5,6.6,13,1,29.3
20,21,3,5,6.92,16,0,37.2
23,25,2,5,7.2,16,0,46.8
25,26,2,2,5.82,12,2,92.3
24,27,4,4,6.91,17,2,45.1
27,28,4,2,6.47,17,6,83.5
27,36,4,5,8.19,13,5,72.1
27,35,3,3,11.36,14,3,131.9
12,13,2,1,5.73,13,2,86.4
8,16,3,5,10.04,11,5,30.2
28,33,4,3,9.81,16,3,89.7
14,14,2,4,5.67,17,5,22.6
12,15,3,5,11.46,12,6,38.4
0,0,3,3,8.98,17,6,1.0
24,29,1,5,7.55,17,0,47.7
6,9,3,2,10.3,15,0,39.7
8,10,4,3,6.8,16,3,20.4
23,25,3,2,9.85,11,5,142.5
0,8,2,2,5.28,13,5,1.1
11,16,3,3,10.88,11,2,55.1
7,15,1,1,8.14,15,2,52.2
23,27,2,3,9.46,14,3,93.4
10,11,2,1,6.55,11,4,101.3
18,25,1,5,9.74,17,2,37.2
16,20,4,5,10.41,9,1,39.7
7,8,2,3,8.31,11,2,27.9
2,5,4,5,9.32,15,4,10.6
2,10,2,4,8.19,11,5,14.1
0,3,2,2,11.26,11,0,4.3
26,29,4,2,8.49,10,0,173.6
4,5,2,1,10.89,17,5,37.6
9,14,4,5,10.61,12,0,37.7
6,7,1,1,7.87,14,2,57.3
25,31,4,2,6.61,10,6,115.2
8,10,1,2,7.84,17,0,36.6
27,29,2,5,10.78,15,6,54.5
6,10,4,4,6.59,13,4,21.9
8,10,2,4,8.67,15,6,15.8
7,8,4,5,10.64,12,4,28.8
11,20,1,5,7.47,15,2,17.8
1,9,1,1,9.5,10,5,13.7
0,1,4,5,6.72,15,1,1.0
15,16,1,4,5.76,12,2,32.7
22,29,2,5,10.56,12,0,80.8
22,30,2,1,5.69,9,2,110.8
29,35,3,1,6.9,11,4,305.0
23,25,1,1,10.99,13,2,292.7
4,12,2,1,7.43,13,2,41.6
2,4,4,3,11.81,10,1,19.1
11,15,1,5,11.86,12,4,45.5
7,15,2,2,6.88,9,3,26.0
21,23,1,5,5.29,17,3,24.5
26,32,4,3,9.94,9,4,100.0
2,2,2,1,8.16,14,3,22.5
0,3,3,3,5.71,15,0,5.1
2,5,3,4,9.95,11,3,11.7
4,10,1,4,5.22,9,0,11.9
14,21,4,5,11.09,15,4,45.0
13,13,2,5,5.97,11,3,26.1
2,6,4,2,5.89,14,3,12.5
0,6,2,2,6.23,14,5,3.3
4,7,1,4,11.72,12,6,15.5
25,28,2,1,9.85,14,0,367.7
22,25,4,3,10.61,12,0,127.3
13,18,4,2,7.78,16,2,54.1
6,12,1,2,7.35,17,1,20.3
26,27,4,1,6.64,10,3,210.8
8,12,2,1,8.36,15,5,61.4
14,17,1,5,8.86,17,1,28.5
14,16,2,3,9.42,17,6,44.1
25,31,4,1,6.8,13,6,209.6
9,14,1,2,11.64,9,5,49.5
27,33,2,2,6.19,14,1,107.4
12,16,4,4,11.76,16,3,35.4
18,23,4,1,5.1,9,6,84.3
6,10,3,5,8.37,10,5,14.6
16,22,4,3,7.33,9,0,54.3
19,20,2,5,8.14,13,2,47.7
28,32,1,2,8.99,10,5,154.8
3,8,3,5,8.05,12,4,13.0
29,34,4,2,7.9,9,6,105.9
4,8,4,2,10.13,15,6,23.6
22,31,4,2,9.8,16,3,99.9
6,12,2,2,10.83,13,3,44.9
12,21,3,2,6.75,10,4,69.9
14,21,2,4,9.27,16,6,37.5
10,16,3,5,9.1,9,1,24.8
28,32,1,4,7.59,15,2,53.4
3,3,2,4,8.4,9,1,11.1
12,16,2,1,7.2,14,4,130.2
6,15,1,1,5.99,14,4,58.7
26,27,3,1,6.5,13,2,206.4
18,22,4,3,5.74,10,4,61.6
21,25,1,1,9.78,10,4,307.1
27,28,4,5,9.63,17,6,56.8
1,5,4,4,11.65,13,5,8.4
9,12,1,5,10.11,13,6,26.3
12,12,3,1,5.36,15,2,57.3
29,31,4,3,11.19,14,3,137.8
24,24,1,3,11.04,10,1,114.8
20,24,2,4,8.1,9,3,41.5
5,8,2,5,9.1,13,3,17.8
27,33,2,2,11.83,12,5,194.5
27,31,1,5,8.73,11,1,64.4
11,20,2,1,11.34,10,3,150.9
11,14,4,2,5.58,10,2,46.2
19,20,2,3,6.34,12,1,57.4
29,32,2,4,8.09,10,0,102.6
29,30,4,4,9.09,12,5,96.9
10,17,2,3,10.71,11,3,49.9
25,27,4,1,11.92,17,4,305.5
22,30,2,3,7.72,15,1,58.6
27,30,4,1,5.33,11,0,223.2
24,29,2,2,10.61,16,4,140.3
6,15,4,3,9.23,17,0,26.3
29,33,1,1,6.39,15,3,160.9
0,9,4,2,8.46,14,4,7.7
0,0,2,3,10.2,12,3,1.0
24,32,2,4,10.39,13,4,103.4
26,26,3,3,8.5,16,1,72.0
29,36,4,5,7.14,11,6,68.1
24,32,1,3,11.82,10,2,117.8
19,27,4,5,9.64,11,6,58.3
12,12,4,2,7.86,15,2,41.8
8,9,1,3,6.96,16,6,18.8
2,2,4,2,10.12,9,0,17.7
6,15,1,2,6.7,15,5,21.5
5,6,1,1,6.2,17,4,30.9
7,16,4,2,8.71,11,3,45.8
26,33,4,2,7.03,11,5,119.6
8,12,2,3,9.4,16,1,27.6
29,35,2,3,5.83,12,1,78.0
4,5,3,4,9.58,16,1,11.4
0,7,3,1,6.98,13,2,5.0
18,23,4,2,5.0,11,3,65.0
9,16,1,1,5.89,12,1,66.9
11,11,3,5,11.54,12,1,34.2
23,23,4,2,11.07,16,6,111.8
14,20,3,1,6.64,14,0,147.2
26,33,1,4,10.45,15,4,80.4
21,23,4,4,9.26,17,4,62.1
23,27,1,2,11.8,14,4,207.6
8,8,4,5,7.62,11,5,19.3
19,25,3,4,9.77,11,6,69.9
16,20,2,4,5.44,11,6,34.0
29,36,3,5,7.77,10,0,84.1
16,23,3,1,11.75,9,2,158.1
25,33,2,4,8.77,9,5,57.3
19,25,2,3,7.02,12,0,77.5
11,11,4,4,5.84,11,1,27.8
29,31,4,1,9.92,13,3,338.2
6,13,1,1,9.51,17,5,49.4
1,3,1,2,7.62,16,5,4.1
2,9,3,3,11.66,17,1,12.2
16,16,2,1,5.16,13,1,99.0
4,8,1,5,7.13,16,3,11.0
16,19,3,3,11.45,12,4,102.2
23,27,2,3,7.25,13,5,77.7
16,23,4,5,6.77,11,0,47.7
26,35,3,4,8.74,13,2,80.8
16,19,4,5,10.77,11,1,49.9
1,4,1,5,5.72,13,1,2.5
1,3,1,4,11.6,13,2,7.0
27,33,2,4,10.57,14,0,118.6
21,23,3,4,6.27,17,1,37.8
22,24,4,4,9.98,9,2,59.0
4,13,2,4,7.69,14,6,17.1
0,4,1,5,7.82,9,1,1.0
0,4,1,2,10.48,14,4,1.0
18,23,3,2,11.74,10,4,166.0
29,36,4,1,5.89,16,1,151.9
1,10,3,2,7.94,11,6,13.2
20,25,4,2,8.37,14,1,112.7
11,11,4,5,7.63,14,4,36.6
25,32,3,4,7.54,12,6,70.3
5,12,2,4,5.37,13,1,13.1
22,30,3,5,9.8,10,6,61.5
3,11,3,2,8.05,16,0,19.0
22,23,1,5,6.36,15,0,39.3
10,11,1,1,10.71,14,3,129.8
23,25,3,4,10.62,15,0,74.1
26,26,3,3,8.4,9,5,72.1
16,19,1,1,7.09,13,6,135.9
5,8,4,1,9.47,15,5,45.5
23,31,3,5,7.02,9,5,42.3
4,12,2,2,6.65,10,1,18.2
19,27,2,4,10.11,17,1,49.1
1,10,2,3,5.28,11,2,10.3
5,11,3,1,5.66,14,6,40.4
21,22,4,3,5.05,15,5,38.2
10,19,4,2,6.07,17,5,30.8
15,19,1,2,5.48,13,0,67.2
15,18,3,3,11.97,12,4,96.7
0,7,4,4,7.02,10,6,1.2
8,9,3,2,6.04,11,4,42.2
27,32,1,3,6.69,13,6,82.7
26,30,1,1,11.55,10,6,352.5
5,6,1,3,8.64,12,3,15.1
15,24,2,3,7.55,9,2,38.3
28,28,3,5,11.11,12,4,103.7
2,9,1,2,7.76,15,3,11.9
19,20,3,4,7.35,11,0,62.7
27,33,2,4,6.45,16,2,49.9
26,34,2,5,7.64,14,2,60.0
3,11,1,4,7.22,14,5,11.0
18,25,1,3,9.74,9,6,54.5
25,34,4,5,7.03,13,6,59.5
2,10,3,1,9.04,11,1,26.1
18,19,1,2,5.46,9,6,48.1
19,24,4,2,6.34,16,6,60.9
6,9,3,2,7.85,15,6,25.1
19,22,1,3,11.56,15,5,64.7
8,12,4,1,7.64,12,0,94.8
0,2,4,5,9.65,14,6,1.1
7,7,3,5,6.79,17,5,13.0
6,13,4,2,5.89,11,2,25.1
17,21,3,1,5.41,17,5,82.0
7,9,3,1,7.14,12,6,65.3
0,9,3,1,6.1,13,3,10.1
10,16,2,4,6.22,15,5,19.7
27,33,4,4,10.33,14,4,118.3
24,24,3,2,5.11,16,0,72.0
24,32,1,1,8.9,16,0,223.2
17,18,2,1,7.66,16,2,112.2
22,26,2,5,8.55,11,5,57.0
29,33,4,5,8.94,14,2,77.4
9,16,3,2,7.19,15,2,33.8
2,9,4,1,7.07,17,3,20.7
6,12,2,2,10.13,12,1,38.0
27,33,3,5,11.1,13,2,83.7
15,20,1,5,6.35,16,1,24.9
25,30,3,4,5.68,9,1,44.3
15,23,2,2,11.28,14,0,134.6
24,29,1,2,7.45,12,4,141.9
19,20,3,1,8.86,13,4,253.2
27,28,1,1,7.52,13,5,241.8
16,20,1,4,5.88,10,3,33.8
1,4,2,3,9.13,16,3,4.6
0,1,1,3,8.68,10,4,1.1
15,17,4,3,6.42,12,5,48.1
29,35,2,2,8.16,13,6,145.9
11,18,4,2,10.58,9,4,69.8
4,9,1,5,9.13,14,5,14.6
4,8,4,2,5.68,10,5,20.6
26,26,3,2,8.84,13,5,148.0
22,29,1,2,9.92,14,5,134.2
8,10,3,4,10.55,16,0,27.5
8,13,4,2,9.4,17,0,46.0
2,4,3,1,6.07,14,4,22.5
18,24,1,1,9.97,13,5,212.1
15,21,3,5,9.74,12,2,42.1
15,23,4,4,5.17,10,5,34.7
2,6,4,1,7.88,10,2,24.7
19,26,4,4,7.33,15,0,51.7
23,32,1,4,9.69,13,5,81.1
21,30,4,5,6.51,15,1,40.4
23,30,1,4,9.14,9,4,63.0
0,0,3,2,11.39,9,5,3.1
23,27,4,4,10.58,13,3,83.8
19,21,3,5,11.45,10,2,64.5
10,10,2,5,11.85,16,6,24.2
16,19,3,5,5.07,11,6,26.8
7,14,2,1,9.36,9,5,57.1
3,5,3,2,7.89,10,1,20.4
5,14,1,1,11.02,15,2,50.3
7,8,3,3,6.76,14,1,24.2
19,27,1,2,11.87,16,6,99.6
29,38,1,4,9.3,15,4,77.7
2,6,4,5,10.55,16,6,10.6
15,21,1,3,5.6,11,4,51.6
29,30,2,2,6.28,14,4,143.7
24,32,4,1,10.31,15,0,257.8
2,10,4,5,5.15,9,6,6.6
24,27,3,1,10.72,9,6,214.4
28,31,1,2,5.1,15,1,66.8
17,22,1,2,9.6,11,5,102.3
13,22,2,3,7.56,11,3,49.2
17,26,3,4,9.28,13,3,61.4
1,10,3,1,9.87,14,4,21.5
21,26,4,3,7.4,10,3,72.4
2,2,4,5,5.76,11,2,8.5
15,23,4,4,5.49,14,1,39.7
28,29,2,3,9.12,11,1,109.4
8,12,2,1,8.64,13,1,83.1
3,11,4,2,10.2,17,2,17.8
0,3,3,5,8.57,11,5,1.0
3,5,2,1,7.96,14,0,40.4
0,6,3,4,7.79,13,2,1.6
13,18,3,4,5.19,13,1,28.5
20,27,1,2,7.35,14,1,93.2
15,17,4,2,11.83,14,6,111.6
19,23,1,5,11.11,9,1,42.2
23,32,4,5,7.31,17,5,42.8
7,10,4,2,9.11,13,3,47.4
6,9,3,2,10.93,9,0,42.3
2,5,4,4,8.09,16,2,6.7
16,25,3,2,5.13,15,1,45.6
0,7,3,3,5.52,15,6,1.4
15,20,4,1,8.57,13,6,157.0
11,13,3,2,11.79,9,4,72.8
26,35,3,5,9.85,17,0,67.3
18,22,3,3,5.5,17,6,38.1
21,26,2,5,6.33,16,4,40.1
22,26,3,3,10.4,13,0,124.2
21,26,2,2,10.89,11,1,140.1
13,20,2,1,9.32,16,0,127.6
29,35,3,5,9.51,9,0,68.6
5,9,3,3,5.2,11,1,15.2
5,14,2,4,10.8,15,5,22.3
12,17,2,2,10.52,12,6,78.6
18,21,3,1,6.81,15,4,129.5
21,29,3,2,9.96,13,5,133.5
7,10,4,4,6.5,14,4,24.9
26,26,2,1,5.28,15,3,117.5
26,32,2,4,6.41,15,6,49.9
1,7,4,2,6.25,15,4,11.8
20,23,2,3,7.36,15,4,58.5
29,31,1,2,7.93,15,0,125.1
0,7,2,2,8.56,11,3,2.0
27,31,4,2,8.34,11,1,145.6
14,23,1,5,6.89,15,1,24.6
0,6,3,4,5.2,10,2,1.0
4,7,4,4,9.24,10,3,17.9
27,30,4,4,7.77,11,0,89.1
28,35,3,5,7.09,12,2,66.6
15,22,4,3,11.07,14,2,73.9
18,19,2,2,10.23,16,1,80.1
3,4,3,3,11.0,15,4,16.5
2,4,4,5,8.46,12,0,10.7
16,18,3,4,5.92,10,3,36.8
16,16,3,2,9.87,10,2,99.7
11,13,3,1,6.44,12,0,113.7
27,32,1,1,8.09,14,1,261.2
29,36,4,3,5.46,11,2,81.5
28,37,1,4,10.78,14,2,98.8
13,18,4,1,5.88,13,5,98.7
20,24,2,3,11.32,13,1,97.2
5,8,2,5,11.05,10,5,18.7
2,4,2,3,8.25,16,1,11.0
27,30,4,3,10.21,13,1,119.7
8,14,3,3,9.34,10,5,36.4
4,4,3,2,10.62,15,6,22.5
23,29,1,3,8.02,17,0,69.4
28,28,1,3,10.5,17,0,107.7
16,17,2,2,8.24,9,6,59.3
13,16,1,2,11.59,15,0,79.4
20,20,4,5,8.4,17,4,47.8
2,10,4,4,8.24,14,2,11.3
27,32,1,1,10.5,9,0,290.7
0,0,1,1,10.75,10,4,3.6
19,19,1,3,8.88,12,2,74.8
28,33,1,5,6.26,12,0,64.8
20,23,2,3,8.27,10,1,75.5
22,25,2,1,11.78,16,6,212.0
0,5,1,2,10.27,10,3,1.7
2,8,4,4,10.68,11,0,13.5
17,25,2,5,5.23,12,3,29.5
24,33,4,2,8.28,17,0,115.3
9,13,3,4,9.53,9,1,24.1
21,29,4,5,10.81,16,6,53.0
25,28,1,5,5.34,13,6,44.0
2,11,3,1,10.97,15,3,24.4
7,8,2,2,8.84,16,4,33.5
13,15,2,5,6.38,13,1,28.1
23,23,3,5,7.22,16,3,36.2
17,22,4,4,6.97,16,3,34.8
14,19,2,1,8.72,17,5,101.4
21,21,1,3,5.36,10,5,51.5
22,24,3,1,6.11,11,1,166.8
1,5,1,3,10.69,9,1,5.9
26,28,3,2,5.93,12,1,100.6
9,18,2,2,6.63,13,2,40.1
1,3,4,5,8.17,9,4,8.7
25,34,3,2,8.62,16,0,121.0
16,18,3,5,10.35,10,5,48.3
7,11,1,1,8.13,9,6,48.4
0,4,2,2,10.53,10,6,4.7
8,11,1,1,9.33,13,3,89.2
10,10,2,1,5.79,17,5,50.6
21,25,1,2,6.09,17,0,74.7
15,24,3,1,8.06,10,1,153.4
6,10,1,2,7.78,10,6,33.2
28,31,4,2,10.2,11,5,177.7
9,14,2,2,9.07,15,4,47.9
22,31,2,3,7.72,11,4,95.1
25,28,3,1,6.2,9,2,131.4
2,8,2,4,6.59,14,5,8.2
17,23,4,2,9.03,11,1,98.8
24,25,1,1,7.96,9,3,158.7
23,25,3,5,8.6,12,2,56.0
12,12,4,2,6.19,9,1,40.7
27,34,2,2,9.64,9,2,117.1
25,33,2,4,10.97,10,5,92.8
6,9,4,3,6.81,16,0,21.7
24,29,1,3,8.44,10,6,87.7
3,11,1,2,11.83,10,5,26.1
12,17,3,1,7.33,16,1,79.9
19,27,2,5,9.17,14,3,51.0
0,3,4,5,5.63,12,3,1.0
7,14,1,1,9.24,11,1,81.0
13,21,3,2,5.63,9,2,40.6
15,18,2,5,11.71,11,4,57.9
13,17,2,3,10.01,17,1,40.9
11,18,3,1,10.52,13,6,139.2
18,27,3,4,9.93,14,5,63.2
22,27,1,2,9.13,13,3,124.3
14,20,4,1,8.15,9,0,123.8
27,29,2,5,11.01,9,3,58.2
1,7,4,2,11.7,12,4,14.5
1,8,2,3,8.49,11,3,8.3
22,31,2,2,11.52,16,4,139.0
21,26,4,2,9.08,15,6,87.5
18,27,3,3,8.77,15,1,57.0
24,32,1,3,8.18,16,3,65.1
25,30,2,2,6.47,15,2,73.0
29,37,3,3,5.03,10,5,74.1
28,31,2,1,6.69,12,2,226.8
21,28,1,3,8.57,14,5,79.0
25,28,2,3,7.66,11,3,82.4
25,26,1,2,8.14,11,6,126.1
21,30,1,1,11.86,14,3,293.5
16,24,2,4,7.45,9,5,32.6
19,23,2,4,8.17,9,6,38.4
9,12,1,5,5.93,13,0,21.2
5,6,3,3,5.34,9,6,12.3
14,14,4,3,10.43,16,3,46.8
21,27,1,1,8.99,10,0,283.4
10,15,2,4,10.32,14,0,43.3
27,28,2,5,6.05,13,5,49.5
4,11,3,1,9.0,12,0,60.8
0,3,4,3,6.78,9,0,3.3
7,14,1,4,6.6,11,1,16.4
20,26,1,5,5.08,12,6,33.5
27,31,4,2,5.91,10,2,104.9
11,20,1,4,7.16,10,0,38.1
11,20,4,5,5.82,10,2,27.8
4,11,2,1,11.9,9,0,50.0
6,14,4,2,7.16,10,2,36.1
3,7,1,5,5.91,14,3,5.8
5,14,4,5,6.39,11,3,20.7
12,16,3,3,9.11,13,2,50.9
19,20,2,4,5.45,9,6,27.7
29,33,2,3,11.04,16,0,117.6
14,16,4,2,11.73,12,1,104.3
2,8,1,5,6.73,17,6,5.7
22,31,3,3,8.15,12,2,83.0
7,11,2,4,5.15,10,6,20.2
19,26,2,2,9.48,11,4,140.9
15,15,1,1,7.9,13,1,140.6
12,14,1,3,6.89,14,4,49.3
17,19,3,2,6.45,15,2,53.7
27,35,4,1,9.58,12,0,387.3
9,13,1,3,7.91,15,6,25.6
29,37,4,2,6.26,11,6,119.4
18,26,3,2,9.82,15,4,103.2
16,16,4,3,8.96,12,6,63.3
23,24,2,2,11.01,16,2,114.8
18,22,4,5,5.82,17,1,32.6
27,30,3,3,10.5,15,0,106.4
25,34,3,2,9.71,16,4,135.9
22,30,3,1,5.81,16,6,114.8
25,31,4,1,9.86,10,2,296.2
4,9,2,5,8.09,17,0,13.2
25,31,1,3,11.61,14,0,155.2
20,20,2,2,5.99,12,3,77.6
29,29,4,2,9.5,13,0,213.7
22,29,4,1,7.67,13,2,205.6
8,9,1,5,11.7,15,1,20.8
11,20,4,1,7.31,17,5,75.0
20,28,3,1,11.74,15,3,194.9
0,6,3,5,11.31,17,2,3.4
25,30,3,3,6.89,12,2,76.1
25,25,3,2,10.62,12,2,163.6
0,0,3,3,11.97,14,4,3.4
14,15,4,4,6.77,16,6,32.3
1,6,1,4,8.06,17,4,2.5
29,34,1,4,8.64,9,1,65.8
21,22,3,5,7.06,9,2,35.2
15,15,4,1,5.11,16,6,70.4
24,33,2,3,6.54,15,4,70.1
7,11,2,2,6.97,17,4,31.8
12,16,4,4,8.11,11,4,47.0
20,21,3,3,6.2,13,1,59.0
0,5,1,4,11.11,11,1,1.0
15,23,4,4,9.93,13,2,55.9
28,29,2,2,5.6,9,3,72.5
6,15,2,5,9.55,12,2,21.2
4,5,2,1,9.58,14,4,54.8
21,23,3,5,11.69,10,5,68.9
28,34,2,3,5.02,15,6,51.6
22,27,4,5,6.74,16,4,43.9
2,9,4,3,11.49,9,0,16.3
11,18,2,3,11.52,12,5,54.3
25,30,4,1,10.04,12,5,303.1
15,24,2,2,10.36,13,6,99.2
18,20,2,1,5.64,12,2,124.3
4,6,1,5,8.6,17,4,8.4
21,21,3,3,6.62,15,4,57.4
24,30,3,4,6.27,10,3,60.7
28,32,1,4,10.67,9,0,89.1
13,16,1,3,5.95,17,2,29.0
27,36,3,1,8.28,9,1,190.1
4,7,2,2,11.57,14,2,30.5
14,17,2,1,6.3,10,5,105.5
16,21,3,3,11.85,12,2,82.7
29,36,2,3,11.96,14,3,146.4
13,20,1,2,8.89,13,2,76.3
29,33,2,5,6.19,14,3,56.6
19,24,2,5,7.21,11,5,46.1
4,7,4,2,7.97,13,3,27.9
11,19,4,5,7.17,10,6,29.2
15,22,4,4,6.96,15,6,30.0
25,34,2,5,11.81,11,4,103.6
25,34,3,5,6.07,9,1,43.2
15,15,1,5,10.13,16,5,27.7
20,21,2,4,5.0,16,3,33.0
6,14,3,5,9.17,11,0,25.8
3,10,2,4,11.41,15,5,13.3
0,2,1,2,7.02,17,0,4.7
29,36,2,1,6.3,16,1,159.2
29,29,1,2,9.56,11,3,170.1
4,13,2,1,9.99,10,5,53.5
22,25,1,2,9.82,15,5,95.0
25,27,2,1,7.24,15,1,150.8
9,14,1,1,6.77,17,4,66.2
21,27,4,3,11.69,13,0,131.4
4,7,2,1,11.46,12,5,56.1
3,9,2,1,8.2,16,2,24.1
1,9,3,3,10.92,12,0,11.2
19,20,3,5,8.17,12,3,46.8
9,11,1,5,7.97,10,1,21.1
25,29,2,3,6.1,9,0,64.7
18,20,1,4,7.98,12,2,46.4
25,32,4,1,8.76,15,6,184.9
0,9,3,1,5.16,17,2,9.3
23,30,1,3,8.11,17,1,60.1
4,11,1,3,10.47,9,1,15.9
12,20,3,4,9.76,13,6,41.4
3,6,2,5,9.45,15,0,11.1
15,19,1,2,11.37,15,3,75.3
23,27,3,5,5.13,14,4,49.3
15,22,2,1,8.9,12,2,163.5
22,28,4,3,10.51,11,1,103.1
1,9,3,4,8.79,17,4,10.3
16,23,1,5,7.27,12,4,44.1
27,28,4,4,5.95,16,4,56.7
26,35,2,5,11.21,9,3,57.9
19,22,2,1,8.3,15,1,130.0
23,28,3,2,11.15,14,2,162.2
11,12,3,4,9.1,9,1,22.6
17,23,3,4,9.72,12,0,71.9
2,4,2,2,10.63,13,2,18.3
27,29,4,4,9.61,16,1,65.9
0,1,2,4,7.79,12,2,1.0
0,7,1,5,8.6,11,0,1.0
28,33,2,5,10.62,10,5,81.8
18,18,1,2,7.62,12,2,85.6
10,10,4,1,7.72,12,5,94.2
4,10,3,4,5.67,13,4,18.0
11,18,3,1,11.4,15,6,109.6
2,6,2,2,5.64,17,3,8.8
0,4,3,2,9.54,10,0,1.7
0,3,4,5,7.89,13,2,1.4
7,12,3,4,7.84,17,0,21.4
9,14,2,3,9.76,11,4,51.1
10,12,4,2,5.47,9,5,28.5
11,19,1,4,9.16,10,3,35.6
28,34,2,1,10.4,14,0,435.8
12,12,1,5,10.8,13,5,37.0
11,17,4,1,6.19,9,4,77.0
13,17,2,2,11.28,9,4,78.2
1,5,2,2,9.59,12,4,17.9
28,29,4,1,11.17,12,6,369.9
18,21,3,2,8.4,14,5,96.5
17,22,2,4,8.79,14,2,55.0
2,11,2,2,11.43,14,1,19.4
22,28,1,5,11.3,9,0,62.7
